collectioncode,catalognumber,scientificname,longitude,latitude
HUEFS,76766,Cambessedesia angelana,-41.089167,-16.338889
UEC*,159019,Cambessedesia angelana,-39.999444,-11.688611
UEC*,159024,Cambessedesia angelana,-39.999444,-11.688611
UEC*,159025,Cambessedesia angelana,-39.999444,-11.688611
UEC,162702,Cambessedesia angelana,-41.09,-16.339167
US*,2907225,Cambessedesia atropurpurea,-47.514722,-14.100556
NYBG,1523270,Cambessedesia atropurpurea,-47.5333,-14.79038
SPF,164138,Cambessedesia atropurpurea,-41.95,-13.533333
ESA*,90035,Cambessedesia atropurpurea,-47.513333,-14.051111
CEPEC*,36700,Cambessedesia cambessedesioides,-41.370800,-13.005299
CEPEC,41648,Cambessedesia cambessedesioides,-41.366667,-12.116667
CEPEC,68662,Cambessedesia cambessedesioides,-41.452778,-12.456667
CEPEC,68747,Cambessedesia cambessedesioides,-41.468056,-12.454722
CEPEC,70715,Cambessedesia cambessedesioides,-41.440278,-12.459722
US*,2914037,Cambessedesia cambessedesioides,-41.331401,-12.807200
US,2615884,Cambessedesia cambessedesioides,-41.486389,-12.491111
US*,2615883,Cambessedesia cambessedesioides,-41.389999,-12.563099
UB*,7763,Cambessedesia cambessedesioides,-41.389999,-12.563099
MBM*,105164,Cambessedesia cambessedesioides,-41.370800,-13.005299
MBM*,249810,Cambessedesia cambessedesioides,-41.389999,-12.563099
MBM*,27633,Cambessedesia cambessedesioides,-41.156101,-11.550000
MBM*,282552,Cambessedesia cambessedesioides,-41.370800,-13.005299
MBM*,400705,Cambessedesia cambessedesioides,-41.370800,-13.005299
JPB*,27226,Cambessedesia cambessedesioides,-41.389999,-12.563099
IPA,64830,Cambessedesia cambessedesioides,-41.493611,-12.451944
HUEFS,101829,Cambessedesia cambessedesioides,-41.433333,-12.466667
HUEFS,111855,Cambessedesia cambessedesioides,-41.211944,-13.434444
HUEFS,166543,Cambessedesia cambessedesioides,-41.366667,-13.016667
HUEFS,46452,Cambessedesia cambessedesioides,-41.341389,-12.993333
HUEFS,171273,Cambessedesia cambessedesioides,-41.512222,-12.756944
HUEFS,181223,Cambessedesia cambessedesioides,-41.509167,-12.730833
HUEFS,185896,Cambessedesia cambessedesioides,-41.483056,-12.605556
HUEFS,56213,Cambessedesia cambessedesioides,-41.341389,-12.988056
HUEFS,85260,Cambessedesia cambessedesioides,-41.376944,-13.083611
HUEFS,85309,Cambessedesia cambessedesioides,-41.351944,-13.14
HUEFS,99615,Cambessedesia cambessedesioides,-41.376111,-13.0825
NYBG,01856134,Cambessedesia cambessedesioides,-41.3594,-13.0961
HEPH,35234,Cambessedesia cambessedesioides,-41.313056,-12.963889
ALCB,026925,Cambessedesia cambessedesioides,-41.333333,-12.5
ALCB,036944,Cambessedesia cambessedesioides,-41.45,-12.433333
ALCB,043536,Cambessedesia cambessedesioides,-41.401029,-12.554197
ALCB,101746,Cambessedesia cambessedesioides,-42.522778,-14.534722
ALCB,129299,Cambessedesia cambessedesioides,-41.340833,-12.912222
ALCB*,132615,Cambessedesia cambessedesioides,-41.558898,-12.528900
ALCB*,3150,Cambessedesia cambessedesioides,-41.370800,-13.005299
UEC,145893,Cambessedesia cambessedesioides,-41.323056,-12.901111
UEC*,154989,Cambessedesia cambessedesioides,-41.370800,-13.005299
UEC,155065,Cambessedesia cambessedesioides,-41.376111,-13.769444
UEC*,27860,Cambessedesia cambessedesioides,-41.370800,-13.0052995
UEC*,27863,Cambessedesia cambessedesioides,-41.370800,-13.0052995
UEC*,28020,Cambessedesia cambessedesioides,-41.370800,-13.00529
SPF,175102,Cambessedesia cambessedesioides,-43.586944,-19.2875
SPF,179397,Cambessedesia cambessedesioides,-43.690556,-18.949167
SPF,85596,Cambessedesia cambessedesioides,-41.333333,-12.933333
HVC,2093,Cambessedesia cambessedesioides,-41.341389,-12.992778
SPF*,117497,Cambessedesia cambessedesioides,-41.389999,-12.563099
HUEFS,217306,Cambessedesia cambessedesioides,-43.8875,-21.703611
NYBG,2422719,Cambessedesia cambessedesioides,-43.88744,-21.70369
CAS-BOT,471926,Cambessedesia cambessedesioides,-41.383055,-13.083055
CAS-BOT*,471925,Cambessedesia cambessedesioides,-41.370800,-13.005299
FMNH-SEEDPLANTS,V0344947F,Cambessedesia cambessedesioides,-43.729444,-18.452778
CEPEC*,106530,Cambessedesia cambessedesioides,-41.370800,-13.005299
CEPEC,148508,Cambessedesia cambessedesioides,-41.451667,-12.456667
HUEFS*,209289,Cambessedesia cambessedesioides,-41.370800,-13.005299
HUEFS*,169531,Cambessedesia cambessedesioides,-41.370800,-13.005299
HUEFS*,169823,Cambessedesia cambessedesioides,-41.370800,-13.005299
HUEFS,112509,Cambessedesia cambessedesioides,-41.5,-12.75
ALCB,52073,Cambessedesia cambessedesioides,-41.369167,-12.635556
ALCB*,64762,Cambessedesia cambessedesioides,-41.370800,-13.005299
ALCB*,64762,Cambessedesia cambessedesioides,-41.370800,-13.005299
ALCB*,64762,Cambessedesia cambessedesioides,-41.370800,-13.005299
ALCB*,64762,Cambessedesia cambessedesioides,-41.370800,-13.005299
ALCB,67072,Cambessedesia cambessedesioides,-41.340833,-12.988333
SPF,183489,Cambessedesia cambessedesioides,-43.755556,-19.006111
SPF*,18748,Cambessedesia cambessedesioides,-41.370800,-13.005299
SPF*,18963,Cambessedesia cambessedesioides,-41.370800,-13.005299
SPF,203078,Cambessedesia cambessedesioides,-43.75,-18.861111
SPF*,219454,Cambessedesia cambessedesioides,-43.600299,-18.249399
RB,RB00924275,Cambessedesia cambessedesioides,-41.451389,-12.456389
RB,RB01399638,Cambessedesia cambessedesioides,-41.491667,-12.584722
RB,RB00232594,Cambessedesia cambessedesioides,-41.484444,-12.574444
G-DC,G00219987,Cambessedesia corymbosa,-45.442222,-18.787777
B*,B 10 0217347,Cambessedesia corymbosa,-43.867778,-19.966667
B*,B 10 0217351,Cambessedesia corymbosa,-43.771389,-18.457778
FMNH-SEEDPLANTS,V0119627F,Cambessedesia corymbosa,-43.993889,-19.225278
FMNH-SEEDPLANTS,V0119613F,Cambessedesia corymbosa,-42.351389,-16.196389
FMNH-SEEDPLANTS,V0119622F,Cambessedesia corymbosa,-43.502500,-17.989722
FMNH-SEEDPLANTS,V0119623F,Cambessedesia corymbosa,-43.660833,-18.353889
US*,2901832,Cambessedesia corymbosa,-43.905278,-18.860000
US*,2623476,Cambessedesia corymbosa,-43.600299,-18.249399
US*,2907121,Cambessedesia corymbosa,-43.838889,-20.182500
