Species,EDGE2,ED,EDGE
Cambessedesia_angelana,6.017686933,7.75,4.94
Cambessedesia_atropurpurea,8.685651097,17.46,4.99
Cambessedesia_cambessedesioides,6.139655775,12.76,4.7
Cambessedesia_corymbosa,4.562623905,9.92,4.47
Cambessedesia_eichlerii,4.184067569,7.75,4.24
Cambessedesia_espora,1.233796977,6.42,3.39
Cambessedesia_glaziovii,2.032001916,6.42,4.08
Cambessedesia_gracilis,3.693638449,8.52,4.33
Cambessedesia_harleyi,5.871476474,10.2,4.49
Cambessedesia_hermogenesii,6.439438496,13.5,4.75
Cambessedesia_hilariana,0.219470238,5.56,1.88
Cambessedesia_latevenosa,1.112440047,4.33,3.75
Cambessedesia_membranacea,4.569853652,9.92,4.47
Cambessedesia_pityrophylla,5.669050773,11.77,4.62
Cambessedesia_purpurata,2.787409214,7.1,4.17
Cambessedesia_regneliana,1.015941896,5.56,3.96
Cambessedesia_rupestris,8.626813173,17.46,4.99
Cambessedesia_salviefolia,5.680434176,11.77,4.62
Cambessedesia_semidecandra,1.298416418,4.71,3.82
Cambessedesia_striatella,8.333801743,10.2,5.18
Cambessedesia_tenuis,1.718468578,5,3.87
Cambessedesia_uncinata,1.715609989,5,3.87
Cambessedesia_weddellii,1.116442615,4.33,3.75
Cambessedesia_wurdackii,3.713198114,8.52,4.33
