"","x"
"1",12.7688393636364
"2",10.2044343636364
"3",10.2044343636364
"4",13.5069143636364
"5",11.7729408636364
"6",11.7729408636364
"7",6.42231336046176
"8",6.42231336046176
"9",7.10173552712843
"10",5.00619152712843
"11",5.00619152712843
"12",8.52535826046176
"13",8.52535826046176
"14",9.92532597474747
"15",9.92532597474747
"16",4.7117525969697
"17",4.3517412969697
"18",4.3517412969697
"19",6.00420036863636
"20",6.00420036863636
"21",7.92327313363636
"22",7.92327313363636
"23",17.149950365
"24",17.149950365
